x	y	name
1	319	k
1	20	n
1	149	y
2	15030	ko
2	75	ku
2	18657	yi
2	196	ng
2	5199	ka
3	205	yir
3	76	kun
3	544	yiw
3	41	kor
3	5081	kan
3	264	kab
3	10198	nga
4	10326	ngam
4	5	kore
4	5179	ngar
4	178	yiwo
4	20	yire
4	285	kanb
4	2557	kabi
4	5	kunr
5	5458	ngarr
5	64	kanbu
5	124	ngama
5	2	kunre
5	33	kabir
5	17423	yiwok
6	36	ngamar
6	8	kanbuk
6	1927	kunred
6	328	yiwokd
6	10152	ngarri
6	4883	kabirr
7	41	yiwokdi
7	34	ngamarn
7	8	kanbukk
7	5058	kabirri
7	10329	ngarrim
8	21	kanbukka
8	124	ngarrima
8	5	ngamarnb
8	248	kabirrib
9	36	ngarrimar
9	35	kabirribi
9	19	ngamarnbu
10	8697	kabirribim
10	1	ngamarnbun
10	34	ngarrimarn
11	210	kabirribimb
11	11756	ngarrimarne
12	52	kabirribimbo
12	656	ngarrimarned
13	410	ngarrimarnedj
13	0	kabirribimbom
14	170	ngarrimarnedja
15	58	ngarrimarnedjar
