x	y	name
0	0	
1	238	d
1	12	g
1	985	h
1	14	l
1	215	b
1	116	n
1	32	r
1	97	m
1	108	w
1	135	k
1	75	y
2	96	hm
2	898	me
2	2	gu
2	22	de
2	35	da
2	14	hl
2	4	re
2	49	be
2	5	lo
2	13	mu
2	7	ki
2	7	ru
2	946	ka
2	13	mo
2	47	ba
2	34	wo
2	28	ko
2	46	ma
2	33	bu
2	7	ro
2	5	ra
2	207	hb
2	2	ge
2	5	yu
2	9	rr
2	73	hy
2	89	hn
2	2	nu
2	37	wa
2	100	ng
2	84	na
2	6	nj
2	18	wu
2	32	hr
2	48	du
2	104	dj
2	3	la
2	12	hg
2	3	ga
2	1051	yi
2	238	hd
2	21	we
2	9	wi
2	2	no
2	108	hw
2	10	di
2	18	mi
2	37	ku
2	17	ke
2	1024	bi
2	893	go
2	117	hk
2	32	do
2	931	bo
2	10	ye
2	21	ya
3	7	hki
3	2	gal
3	110	biw
3	2	ger
3	5	dil
3	17	hke
3	24	mar
3	12	nge
3	69	yir
3	91	bin
3	904	kod
3	2	hlu
3	1	wey
3	218	yib
3	3	rur
3	21	hya
3	3	kuy
3	891	yau
3	7	wel
3	863	kom
3	7	rru
3	713	kan
3	962	woh
3	12	wur
3	10	hdi
3	88	bom
3	46	hba
3	242	yid
3	1	mur
3	7	hro
3	73	kay
3	896	hyi
3	6	ded
3	5	mir
3	19	war
3	208	bib
3	23	dju
3	2	roy
3	891	rud
3	9	hrr
3	21	hwe
3	85	men
3	90	yin
3	7	nan
3	14	dan
3	1	lak
3	865	mim
3	22	hde
3	18	hmi
3	5	beb
3	99	kaw
3	11	ngo
3	102	gow
3	16	kur
3	1037	nga
3	861	nuk
3	189	gob
3	110	yiw
3	6	hnj
3	16	ngi
3	891	rak
3	14	dun
3	2	gur
3	10	dur
3	31	ngu
3	14	mel
3	2	hnu
3	973	kam
3	117	bik
3	35	hda
3	2	rer
3	634	ben
3	968	bad
3	35	hku
3	893	kah
3	2	wir
3	931	hbo
3	985	bih
3	7	wer
3	7	nay
3	4	mal
3	11	kag
3	45	hbe
3	195	kab
3	73	yiy
3	63	bir
3	8	ber
3	4	yar
3	2	wul
3	892	kuk
3	891	red
3	202	kad
3	45	hma
3	992	yih
3	5	dul
3	83	bon
3	1	mok
3	223	bod
3	1	ray
3	69	kar
3	3	bul
3	2	dal
3	4	dah
3	1	yuw
3	2	kin
3	1	nji
3	28	hbi
3	1	lab
3	28	hko
3	1083	bim
3	13	gol
3	104	mek
3	1	run
3	8	dji
3	3	win
3	2	low
3	5	kel
3	10	nam
3	8	yer
3	4	nom
3	7	nud
3	34	hwo
3	10	dow
3	14	kal
3	4	wab
3	4	roh
3	986	kum
3	48	hdu
3	2	raw
3	17	yil
3	7	dor
3	42	dja
3	74	kun
3	4	dok
3	34	hka
3	3	hga
3	15	bur
3	891	wok
3	1068	kak
3	891	lod
3	73	biy
3	102	mew
3	962	gak
3	27	mer
3	4	mor
3	1088	bid
3	1	nja
3	5	den
3	2	yay
3	5	mul
3	893	keb
3	12	yig
3	866	dad
3	2	wod
3	37	hwa
3	963	yaw
3	2	ken
3	12	big
3	7	del
3	25	djo
3	104	hdj
3	1	rre
3	3	kor
3	6	dje
3	4	dar
3	5	dub
3	4	mil
3	1095	yim
3	15	bil
3	990	bal
3	3	mad
3	121	yik
3	22	bar
4	12	ngag
4	4	yili
4	82	lodn
4	102	mimw
4	8	hber
4	47	biba
4	985	bimh
4	2	yige
4	37	yiwa
4	2	dulu
4	891	dule
4	14	hdan
4	20	mewe
4	12	hkan
4	34	biwo
