x	y	name
0	0	
1	2777	x
1	2777	x
1	2777	x
1	2777	x
1	2777	x
1	2777	x
1	2777	x
1	2777	x
1	2777	x
1	2777	x
1	2777	x
2	1812	hx
2	1153	kx
2	26	lx
2	1082	yx
2	1812	hx
2	265	dx
2	265	dx
2	215	wx
2	265	dx
2	1812	hx
2	1082	yx
2	1812	hx
2	40	rx
2	2107	bx
2	1812	hx
2	265	dx
2	1812	hx
2	100	nx
2	980	mx
2	2107	bx
2	980	mx
2	100	nx
2	2107	bx
2	1153	kx
2	2107	bx
2	827	gx
2	980	mx
2	980	mx
2	40	rx
2	100	nx
2	980	mx
2	1082	yx
2	100	nx
2	1812	hx
2	2107	bx
2	1082	yx
2	1153	kx
2	265	dx
2	265	dx
2	1153	kx
2	1153	kx
2	215	wx
2	26	lx
2	1812	hx
2	1812	hx
2	215	wx
2	100	nx
2	827	gx
2	40	rx
2	40	rx
2	40	rx
2	827	gx
2	215	wx
2	1812	hx
2	827	gx
2	215	wx
3	968	max
3	1764	wox
3	4	gux
3	221	hkx
3	1845	kux
3	1735	yax
3	3319	box
3	1735	yax
3	215	hwx
3	827	hgx
3	186	djx
3	20	wix
3	823	rux
3	978	hmx
3	968	max
3	3760	yix
3	3760	yix
3	4468	bix
3	3199	kox
3	4468	bix
3	1845	kux
3	1636	mex
3	3319	box
3	816	rax
3	3760	yix
3	1120	ngx
3	62	dox
3	49	wex
3	26	hnx
3	840	kex
3	4468	bix
3	927	hyx
3	4468	bix
3	4468	bix
3	2688	bax
3	186	djx
3	2	gex
3	215	hwx
3	1636	mex
3	1623	dax
3	24	mox
3	1623	dax
3	5944	kax
3	893	dux
3	12	njx
3	22	mux
3	1626	gox
3	893	dux
3	817	lox
3	5944	kax
3	18	dix
3	215	hwx
3	816	rax
3	14	rox
3	3199	kox
3	40	hrx
3	2688	bax
3	1735	yax
3	169	nax
3	62	dox
3	816	rax
3	3760	yix
3	1764	wox
3	1626	gox
3	169	nax
3	1636	mex
3	4	gax
3	5944	kax
3	790	nux
3	20	wix
3	1735	yax
3	3760	yix
3	5944	kax
3	1845	kux
3	1845	kux
3	893	dux
3	5944	kax
3	1623	dax
3	817	dex
3	265	hdx
3	265	hdx
3	49	wex
3	26	hlx
3	265	hdx
3	3760	yix
3	4468	bix
3	1845	kux
3	4468	bix
3	24	rrx
3	893	dux
3	5944	kax
3	927	hyx
3	817	lox
3	49	wex
3	978	hmx
3	816	rex
3	22	yex
3	34	wux
3	26	hnx
3	3760	yix
3	3319	box
3	169	nax
3	221	hkx
3	4468	bix
3	3760	yix
3	1120	ngx
3	840	kex
3	265	hdx
3	1636	mex
3	3760	yix
3	34	wux
3	4468	bix
3	1623	dax
3	4468	bix
3	62	dox
3	3199	kox
3	3199	kox
3	3760	yix
3	221	hkx
3	2232	bex
3	840	kex
3	811	mix
3	169	nax
3	221	hkx
3	24	rrx
3	265	hdx
3	186	djx
3	5944	kax
3	14	rox
3	12	njx
3	2688	bax
3	811	mix
3	1626	gox
3	1623	dax
3	2232	bex
3	22	mux
3	2232	bex
3	1120	ngx
3	823	rux
3	1177	hbx
3	69	wax
3	1623	dax
3	22	mux
3	24	mox
3	13	lax
3	9	yux
3	968	max
3	221	hkx
3	69	wax
3	4	gax
3	1636	mex
3	823	rux
3	169	nax
3	811	mix
3	1177	hbx
3	13	kix
3	62	dox
3	817	dex
3	1120	ngx
3	893	dux
3	169	nax
3	169	nax
3	3760	yix
3	817	dex
3	5944	kax
3	4468	bix
3	968	max
3	186	djx
3	169	nax
3	1177	hbx
3	169	nax
3	3319	box
3	40	hrx
3	3760	yix
3	867	bux
3	186	djx
3	816	rex
3	867	bux
3	5944	kax
3	1626	gox
3	5944	kax
3	790	nux
3	169	nax
3	867	bux
3	1735	yax
3	968	max
3	1764	wox
3	1120	ngx
3	13	lax
3	6	nox
3	1623	dax
3	816	rex
3	5944	kax
3	1177	hbx
4	2653	yawx
4	927	biyx
4	98	karx
4	0	gerx
4	814	malx
4	1826	yihx
4	2718	kumx
4	3634	kamx
4	27	nabx
4	2565	benx
4	1742	kabx
4	98	karx
4	0	darx
4	2653	yawx
4	2725	balx
4	1626	dulx
4	3698	bimx
4	1805	bidx
4	864	hkux
4	1	bunx
4	0	berx
4	2	njix
4	3739	yimx
4	1204	yibx
4	2027	kakx
4	14	narx
4	186	hdjx
4	1632	hbix
4	346	gobx
4	1786	kahx
4	2	yuwx
4	1623	hdax
4	2725	balx
4	0	gakx
4	1786	kahx
4	3634	kamx
4	26	yinx
4	3634	kamx
4	14	nomx
4	1562	dadx
4	837	bilx
4	69	hwax
4	864	hkux
4	18	hdix
4	6	kuyx
4	3199	hkox
4	86	birx
4	28	melx
4	0	korx
4	14	welx
4	1805	bidx
4	791	djex
4	1786	kahx
4	1812	badx
4	1622	redx
4	0	rerx
4	229	yikx
4	16	nudx
4	827	bigx
4	915	kayx
4	2027	kakx
4	1783	hkax
4	929	yiyx
4	4	nalx
4	1812	badx
4	3739	yimx
4	28	nakx
4	2565	benx
4	30	yilx
4	4	warx
