target_word,prefix,rank
nâtam,n,7097
nâtam,nâ,876
nâtam,nât,320
nâtam,nâta,170
nôhtêyâpâkwêw,n,7097
nôhtêyâpâkwêw,nô,292
nôhtêyâpâkwêw,nôh,26628
nôhtêyâpâkwêw,nôht,1493
nôhtêyâpâkwêw,nôhtê,21855
nôhtêyâpâkwêw,nôhtêy,429
nôhtêyâpâkwêw,nôhtêyâ,95
nôhtêyâpâkwêw,nôhtêyâp,6
nôhtêyâpâkwêw,nôhtêyâpâ,4
nôhtêyâpâkwêw,nôhtêyâpâk,4
nôhtêyâpâkwêw,nôhtêyâpâkw,4
nôhtêyâpâkwêw,nôhtêyâpâkwê,32
tapahtiskwêyiyiwa,t,3159
tapahtiskwêyiyiwa,ta,22666
tapahtiskwêyiyiwa,tap,3415
tapahtiskwêyiyiwa,tapa,4578
tapahtiskwêyiyiwa,tapah,3531
tapahtiskwêyiyiwa,tapaht,28
tapahtiskwêyiyiwa,tapahti,7
tapahtiskwêyiyiwa,tapahtis,7
tapahtiskwêyiyiwa,tapahtisk,7
tapahtiskwêyiyiwa,tapahtiskw,7
tapahtiskwêyiyiwa,tapahtiskwê,7
tapahtiskwêyiyiwa,tapahtiskwêy,3
tapahtiskwêyiyiwa,tapahtiskwêyi,41
tapahtiskwêyiyiwa,tapahtiskwêyiy,15
tapahtiskwêyiyiwa,tapahtiskwêyiyi,4
tapahtiskwêyiyiwa,tapahtiskwêyiyiw,2
takosiniyahko,t,3159
takosiniyahko,ta,22666
takosiniyahko,tak,5419
takosiniyahko,tako,22072
takosiniyahko,takos,1961
takosiniyahko,takosi,793
takosiniyahko,takosin,238
takosiniyahko,takosini,182
takosiniyahko,takosiniy,21
takosiniyahko,takosiniya,14
takosiniyahko,takosiniyah,8
takosiniyahko,takosiniyahk,8
takosiniyani,t,3159
takosiniyani,ta,22666
takosiniyani,tak,5419
takosiniyani,tako,22072
takosiniyani,takos,1961
takosiniyani,takosi,793
takosiniyani,takosin,238
takosiniyani,takosini,182
takosiniyani,takosiniy,21
takosiniyani,takosiniya,14
takosiniyani,takosiniyan,7
takosihki,t,3159
takosihki,ta,22666
takosihki,tak,5419
takosihki,tako,22072
takosihki,takos,1961
takosihki,takosi,793
takosihki,takosih,127
takosihki,takosihk,46
tahkoskêw,t,3159
tahkoskêw,ta,22666
tahkoskêw,tah,31464
tahkoskêw,tahk,5455
tahkoskêw,tahko,513
tahkoskêw,tahkos,241
tahkoskêw,tahkosk,102
tahkoskêw,tahkoskê,37
tahkonamwak,t,3159
tahkonamwak,ta,22666
tahkonamwak,tah,31464
tahkonamwak,tahk,5455
tahkonamwak,tahko,513
tahkonamwak,tahkon,175
tahkonamwak,tahkona,79
tahkonamwak,tahkonam,27
tahkonamwak,tahkonamw,2
tahkonamwak,tahkonamwa,2
tahkahtam,t,3159
tahkahtam,ta,22666
tahkahtam,tah,31464
tahkahtam,tahk,5455
tahkahtam,tahka,23055
tahkahtam,tahkah,10110
tahkahtam,tahkaht,20
tahkahtam,tahkahta,37
ta-wani-kiskisiw,t,3159
ta-wani-kiskisiw,ta,22666
ta-wani-kiskisiw,ta-,26384
ta-wani-kiskisiw,ta-w,1806
ta-wani-kiskisiw,ta-wa,969
ta-wani-kiskisiw,ta-wan,153
ta-wani-kiskisiw,ta-wani,97
ta-wani-kiskisiw,ta-wani-,26382
ta-wani-kiskisiw,ta-wani-k,5233
ta-wani-kiskisiw,ta-wani-ki,2716
ta-wani-kiskisiw,ta-wani-kis,1291
ta-wani-kiskisiw,ta-wani-kisk,476
ta-wani-kiskisiw,ta-wani-kiski,307
ta-wani-kiskisiw,ta-wani-kiskis,164
ta-wani-kiskisiw,ta-wani-kiskisi,33
ta-tôtamiyit,t,3159
ta-tôtamiyit,ta,22666
ta-tôtamiyit,ta-,26384
ta-tôtamiyit,ta-t,1440
ta-tôtamiyit,ta-tô,97
ta-tôtamiyit,ta-tôt,20
ta-tôtamiyit,ta-tôta,138
ta-tôtamiyit,ta-tôtam,51
ta-tôtamiyit,ta-tôtami,12
ta-tôtamiyit,ta-tôtamiy,4
ta-tôtamiyit,ta-tôtamiyi,4
ta-tôtahkik,t,3159
ta-tôtahkik,ta,22666
ta-tôtahkik,ta-,26384
ta-tôtahkik,ta-t,1440
ta-tôtahkik,ta-tô,97
ta-tôtahkik,ta-tôt,20
ta-tôtahkik,ta-tôta,138
ta-tôtahkik,ta-tôtah,9
ta-tôtahkik,ta-tôtahk,5
ta-tôtahkik,ta-tôtahki,3
ta-tâpwêw,t,3159
ta-tâpwêw,ta,22666
ta-tâpwêw,ta-,26384
ta-tâpwêw,ta-t,1440
ta-tâpwêw,ta-tâ,290
ta-tâpwêw,ta-tâp,127
ta-tâpwêw,ta-tâpw,22
ta-tâpwêw,ta-tâpwê,49
ta-nipahât,t,3159
ta-nipahât,ta,22666
ta-nipahât,ta-,26384
ta-nipahât,ta-n,2877
ta-nipahât,ta-ni,869
ta-nipahât,ta-nip,191
ta-nipahât,ta-nipa,133
ta-nipahât,ta-nipah,139
ta-nipahât,ta-nipahâ,28
ta-nipahâhkatosoyân,t,3159
ta-nipahâhkatosoyân,ta,22666
ta-nipahâhkatosoyân,ta-,26384
ta-nipahâhkatosoyân,ta-n,2877
ta-nipahâhkatosoyân,ta-ni,869
ta-nipahâhkatosoyân,ta-nip,191
ta-nipahâhkatosoyân,ta-nipa,133
ta-nipahâhkatosoyân,ta-nipah,139
ta-nipahâhkatosoyân,ta-nipahâ,28
ta-nipahâhkatosoyân,ta-nipahâh,8
ta-nipahâhkatosoyân,ta-nipahâhk,8
ta-nipahâhkatosoyân,ta-nipahâhka,6
ta-nipahâhkatosoyân,ta-nipahâhkat,6
ta-nipahâhkatosoyân,ta-nipahâhkato,4
ta-nipahâhkatosoyân,ta-nipahâhkatos,4
ta-nipahâhkatosoyân,ta-nipahâhkatoso,20
ta-nipahâhkatosoyân,ta-nipahâhkatosoy,8
ta-nipahâhkatosoyân,ta-nipahâhkatosoyâ,3
ta-mîciyân,t,3159
ta-mîciyân,ta,22666
ta-mîciyân,ta-,26384
ta-mîciyân,ta-m,4225
ta-mîciyân,ta-mî,262
ta-mîciyân,ta-mîc,51
ta-mîciyân,ta-mîci,66
ta-mîciyân,ta-mîciy,8
ta-mîciyân,ta-mîciyâ,3
ta-mîciyit,t,3159
ta-mîciyit,ta,22666
ta-mîciyit,ta-,26384
ta-mîciyit,ta-m,4225
ta-mîciyit,ta-mî,262
ta-mîciyit,ta-mîc,51
ta-mîciyit,ta-mîci,66
ta-mîciyit,ta-mîciy,8
ta-mîciyit,ta-mîciyi,3
ta-mîciw,t,3159
ta-mîciw,ta,22666
ta-mîciw,ta-,26384
ta-mîciw,ta-m,4225
ta-mîciw,ta-mî,262
ta-mîciw,ta-mîc,51
ta-mîciw,ta-mîci,66
ta-mîcisocik,t,3159
ta-mîcisocik,ta,22666
ta-mîcisocik,ta-,26384
ta-mîcisocik,ta-m,4225
ta-mîcisocik,ta-mî,262
ta-mîcisocik,ta-mîc,51
ta-mîcisocik,ta-mîci,66
ta-mîcisocik,ta-mîcis,33
ta-mîcisocik,ta-mîciso,38
ta-mîcisocik,ta-mîcisoc,2
ta-mîcisocik,ta-mîcisoci,2
ta-mâyi-kîsikâw,t,3159
ta-mâyi-kîsikâw,ta,22666
ta-mâyi-kîsikâw,ta-,26384
ta-mâyi-kîsikâw,ta-m,4225
ta-mâyi-kîsikâw,ta-mâ,924
ta-mâyi-kîsikâw,ta-mây,210
ta-mâyi-kîsikâw,ta-mâyi,115
ta-mâyi-kîsikâw,ta-mâyi-,26382
ta-mâyi-kîsikâw,ta-mâyi-k,5233
ta-mâyi-kîsikâw,ta-mâyi-kî,1052
ta-mâyi-kîsikâw,ta-mâyi-kîs,619
