x	y	name
1	10	h
1	1473	â
1	21660	ô
1	3159	t
1	2392	i
1	7097	n
1	4	v
1	3982	a
1	1031	y
1	6087	w
1	10640	m
1	30851	o
1	4362	s
1	78	î
1	24017	ê
1	7968	p
1	13302	k
1	4	x
1	1996	c
2	71	yô
2	6935	mê
2	3	hê
2	6	îh
2	106	tô
2	6945	ok
2	4230	ôm
2	590	it
2	564	sî
2	1513	kw
2	48	ât
2	500	is
2	420	mô
2	48	tw
2	3692	ot
2	1448	ôt
2	61	îk
2	4	vi
2	5868	êy
2	1287	iy
2	350	câ
2	221	pô
2	4209	mi
2	3303	pi
2	23496	pê
2	876	nâ
2	648	ak
2	593	oy
2	641	mo
2	5351	âh
2	3665	on
2	22321	wî
2	4	t.
2	22929	wâ
2	232	âp
2	55310	ki
2	2125	si
2	1251	ca
2	26391	ê-
2	5582	ah
2	837	pî
2	2446	sê
2	24560	kê
2	322	sô
2	22666	ta
2	5283	na
2	385	ya
2	51	âw
2	70	ân
2	5797	ay
2	3739	wê
2	121	an
2	5571	êk
2	193	pw
2	43	ic
2	71	kô
2	1478	mâ
2	305	âs
2	2917	sa
2	416	ap
2	6244	om
2	84	âc
2	30762	ni
2	2890	os
2	4	iv
2	539	nî
2	23549	nê
2	278	at
2	4	hâ
2	5433	pa
2	1024	cê
2	2568	ês
2	381	tâ
2	887	sâ
2	80	âm
2	22939	kî
2	1008	as
2	5005	êh
2	4	tv
2	63	ih
2	974	ci
2	7359	ma
2	8	ha
2	222	âk
2	220	ac
2	2531	ow
2	292	nô
2	4	xi
2	238	yâ
2	4182	op
2	271	mw
2	25312	wa
2	3322	oc
2	552	ko
2	310	po
2	509	yi
2	165	yî
2	22618	tê
2	375	cî
2	2092	êt
2	205	yê
2	133	ây
2	705	êc
2	132	aw
2	46116	ka
2	5236	ôk
2	23161	kâ
2	1118	pâ
2	23741	wi
2	26410	ôh
2	2	ît
2	26778	oh
2	900	ti
2	379	mî
3	438	sak
3	1277	ayâ
3	1336	êyâ
3	5419	tak
3	3095	wan
3	4	t.v
3	63	ayê
3	2	hah
3	26404	iyô
3	17	êht
3	2	hâm
3	572	pêy
3	53	ihk
3	296	mêt
3	147	pos
3	44	âwa
3	155	mâc
3	39	êst
3	2110	wâs
3	25	êhê
3	3583	pâh
3	4	vis
3	1731	ê-s
3	43294	asê
3	1107	ahâ
3	102	asa
3	35	ito
3	54	îka
3	27	nôs
3	235	nih
3	3047	nâh
3	5303	kâk
3	4373	mâh
3	74	sîw
3	6669	êka
3	306	may
3	3218	nan
3	82	nôt
3	5	awî
3	234	sap
3	3	pôy
3	26414	kôh
3	215	pîk
3	202	akw
3	123	mât
3	22	nâw
3	267	pîh
3	637	osâ
3	5404	kih
3	91	âpa
3	3532	nêp
3	500	okâ
3	394	nat
3	120	mit
3	780	kwê
3	19	ayw
3	2953	wîn
3	22	tôt
3	26389	pê-
3	20	mît
3	190	êsk
3	598	tiy
3	51	âkw
3	32	anâ
3	353	mos
3	21726	ata
3	22446	owâ
3	1108	oni
3	26382	tê-
3	3	âsk
3	4	vii
3	78	tâs
3	98	saw
3	26628	nôh
3	2597	âha
3	4628	pêm
3	5990	kan
3	2226	pês
3	6636	kin
3	1044	ahi
3	29	sim
3	2070	nês
3	169	asi
3	24	pay
3	286	mên
3	3	hay
3	194	êsp
3	5273	kîk
3	62	tâw
3	105	nîp
3	99	môn
3	72	ê-î
3	3271	kîp
3	97	pîs
3	31606	kah
3	2482	niw
3	11992	kik
3	115	yîk
