x	y	name
1	30858	o
1	11450	m
1	1035	y
1	4814	a
1	2396	i
1	1481	â
1	22657	p
1	4	x
1	14177	k
1	78	î
1	1999	c
1	24058	ê
1	21661	ô
1	14	h
1	4012	t
1	11211	n
1	4	v
1	6095	w
1	4366	s
2	4230	ôm
2	890	sâ
2	4990	mi
2	3665	on
2	6245	om
2	2125	si
2	389	ya
2	1287	iy
2	593	oy
2	2920	sa
2	3322	oc
2	376	cî
2	4	êê
2	5236	ôk
2	4	êâ
2	34038	ni
2	350	câ
2	838	pî
2	2446	sê
2	976	ci
2	1449	ôt
2	232	âp
2	4	tv
2	4	êô
2	1485	mâ
2	292	nô
2	5354	âh
2	2894	os
2	137	aw
2	4	êî
2	880	nâ
2	5591	ah
2	38167	pê
2	709	êc
2	6	îh
2	501	is
2	23449	tê
2	5598	êk
2	4182	op
2	648	ak
2	1251	ca
2	1025	cê
2	4	êa
2	3739	wê
2	416	ap
2	4	xi
2	205	yê
2	106	tô
2	5319	na
2	26778	oh
2	564	sî
2	323	sô
2	4	vi
2	1402	nî
2	310	po
2	4229	êm
2	2092	êt
2	6945	ok
2	52	âw
2	24351	nê
2	7	hâ
2	11	ha
2	2893	ên
2	84	âc
2	61	îk
2	242	yâ
2	48	tw
2	126	an
2	22932	wâ
2	279	at
2	222	âk
2	46123	ka
2	556	ko
2	433	mô
2	3319	pi
2	1120	pâ
2	4	êo
2	509	yi
2	63	ih
2	25408	kê
2	1514	kw
2	272	mw
2	401	tâ
2	221	pô
2	49	ât
2	655	mo
2	3318	êp
2	193	pw
2	4	hê
2	23744	wi
2	1012	as
2	2571	ês
2	2531	ow
2	22950	kî
2	26410	ôh
2	22322	wî
2	70	ân
2	23165	kâ
2	900	ti
2	71	yô
2	3694	ot
2	6601	ay
2	4	iv
2	5006	êh
2	7371	ma
2	165	yî
2	223	ac
2	5869	êy
2	43	ic
2	2	ît
2	4	êi
2	133	ây
2	593	it
2	5435	pa
2	80	âm
2	72	kô
2	381	mî
2	55325	ki
2	6937	mê
2	1847	êw
2	308	âs
2	22688	ta
2	4	t.
2	25317	wa
3	1467	tat
3	190	êsk
3	35	asw
3	168	mow
3	75	nîk
3	4628	pêm
3	55	nâm
3	3	âsk
3	95	pat
3	329	oya
3	143	nam
3	3556	kêp
3	43	nâc
3	97	pîm
3	99	môn
3	4	kêo
3	431	wây
3	194	êsp
3	4	tai
3	2278	miy
3	4	êôh
3	3420	tap
3	21	âhê
3	1107	ahâ
3	2	kâa
3	26809	kâh
3	329	wêy
3	341	ômê
3	78	nâk
3	267	êmô
3	115	min
3	112	cap
3	4	vis
3	4	kai
3	4	êoc
3	38	yây
3	706	mas
3	3777	kic
3	178	aso
3	3144	êya
3	4	kâô
3	152	nâs
3	213	ôtê
3	81	âci
3	395	nat
3	1065	osi
3	4373	mâh
3	4	êây
3	104	cim
3	44	âwa
3	899	otô
3	85	tih
3	4225	tam
3	22096	êwî
3	498	pak
3	44	âht
3	4431	kiw
3	21711	ati
3	3	hâm
3	43427	ako
3	1013	oci
3	403	kây
3	4735	kas
3	142	ask
3	452	nêy
3	152	êyî
3	27561	êyi
3	128	sîh
3	148	mâs
3	1069	âhâ
3	21715	êyô
3	3369	ohp
3	420	kwa
3	287	mây
3	25	pân
3	5990	kan
3	564	way
3	306	may
3	7588	nik
3	277	otê
3	379	pâs
3	4	êom
3	168	sis
3	233	sâp
3	353	osô
3	402	tay
3	5	ici
3	4528	mah
3	174	ênô
3	66	atâ
3	4	êas
3	150	êto
3	2	kââ
3	4	êâc
3	23	nâw
3	4	vit
3	88	mîs
3	1478	wât
3	22870	âho
3	361	mat
3	6271	êma
3	640	osâ
3	12	yêk
3	20	iht
3	744	ohc
3	1063	iyâ
3	78	tâs
3	77	mîc
3	183	maw
3	15	pêi
3	127	sôh
3	246	êcî
3	8	âti
3	30	ost
3	774	wîc
3	11997	kik
3	11	nôk
3	3060	nic
3	4	êoy
3	61	âma
3	46	tôm
3	26833	êti
3	5482	nêk
3	239	ôti
3	57	ato
3	21727	ata
3	3274	kâp
3	52	mân
3	159	êkê
3	934	ôhi
3	500	okâ
3	1039	mês
3	638	êpî
3	1010	nîs
3	191	êpô
3	1938	wêw
3	761	pas
3	231	êsô
3	600	otâ
3	2583	ôha
3	659	tac
3	4	t.v
3	2577	kâs
3	9	ano
3	32	anâ
3	278	kos
3	12	kôt
3	285	pik
3	4	kîi
3	4	kîî
3	17	awi
3	259	môh
3	2953	wîn
3	1449	kît
3	50	itw
3	1617	piy
3	22133	êwâ
3	150	ênê
3	88	pwê
3	2934	wân
3	3250	nah
3	10443	kim
3	172	môs
3	693	owî
3	42	yaw
3	26404	iyô
3	1597	kât
3	2110	wâs
3	5401	têk
3	271	êpo
3	53	ihk
3	746	câh
3	4	êah
3	322	nak
3	43	êkô
3	22267	êwi
3	117	apa
3	8	mwâ
3	2495	kîs
3	23	isî
3	1563	oht
3	16	pôt
3	924	êmâ
3	5461	pêk
3	115	yîk
3	291	api
3	3108	kên
3	2934	kîn
3	102	yâh
3	1890	wâw
3	6	pôh
3	118	pîw
3	124	pam
3	3223	nan
3	492	opâ
3	403	kîy
3	848	opî
3	16	awâ
3	1444	ôht
3	104	asa
3	93	nân
3	160	itâ
3	2597	âha
3	54	pwâ
3	7	pôm
3	18	cês
3	2482	niw
3	4238	nis
3	4	kêâ
3	47	tân
3	4	êis
3	26415	kôh
3	47	pip
3	1865	wîs
3	4	hâw
3	44	môc
3	5660	kis
3	4308	têp
3	4	êak
3	15243	pêy
3	1044	ahi
3	4344	kâm
3	933	âhi
3	26628	nôh
3	4	êâm
3	81	pit
3	5095	kîh
3	2631	êha
3	164	êwê
3	254	pôn
3	375	nas
3	4	êoh
3	63	cîh
3	1951	oca
3	262	êmî
3	241	sik
3	147	âso
3	131	âyi
3	339	êmê
3	124	sîk
3	2792	nêw
3	59	itê
3	16	âsp
3	748	wâc
3	3271	kîp
3	4	wîi
3	3	hay
3	216	wêt
3	21767	isi
3	45	ahp
3	26566	êsê
3	6274	ôma
3	8	apî
3	10	yôt
3	1473	wît
3	170	osê
3	35	pic
3	250	sêk
3	267	pîh
3	8	nôm
3	557	oti
3	35	ana
3	3411	pêp
3	98	pâw
3	28	yôh
3	71	âhc
3	108	sôs
3	167	tâp
3	306	ita
3	1930	sas
3	1961	kîw
3	26	môy
3	4	wîo
3	15	twâ
3	22	tôt
3	20	mît
3	66	yip
3	4	wîâ
3	4	êâp
3	56	êyê
3	4306	nip
3	5271	wîk
3	4	kêa
3	3	hêy
3	147	pos
3	1916	taw
3	4736	mam
3	52	êcâ
3	4	kâi
3	3583	pâh
3	4	êot
3	12	twê
3	20	pîc
3	2923	tan
3	1936	kâw
3	27	pât
3	72	nôc
3	24376	êwa
3	6	kao
3	74	sîw
3	4	taâ
3	31465	tah
3	5405	kih
3	3058	kat
3	1212	omâ
3	4	êon
3	2919	pên
3	1336	êyâ
3	374	man
3	39	êst
3	489	êci
3	92	pôs
3	4	êih
3	2070	nês
3	2309	ôta
3	2938	kân
3	1821	wiy
3	32	âpo
3	97	pîs
3	679	kîc
3	5174	pêh
3	497	onâ
3	11	apw
3	10	awê
3	2418	êsa
3	177	iyi
3	368	ênî
3	289	moh
3	465	wês
3	3223	ôhp
3	363	pih
3	10930	kak
3	1851	pêw
3	4	êiy
3	4	taô
3	576	kêy
3	1957	sês
3	4407	mêm
3	39	âsô
3	71	yêh
3	4	vic
3	852	kay
3	55	âni
3	904	cah
3	82	nôt
3	234	sap
3	2713	kês
3	56	mêw
3	110	awa
3	6675	êka
3	3360	ota
3	4	êâh
3	5246	ôhk
3	725	kêc
3	4	êâk
3	6	kâo
3	12	mwa
3	2223	was
3	5278	kîk
3	101	êtô
3	159	aci
3	248	mic
3	103	âst
3	48	cîk
3	2627	êta
3	4	êân
3	2420	niy
3	51	âkw
3	420	mac
3	4	êos
3	27354	êsi
3	4	êan
3	19	tit
3	4	êok
3	304	ciy
3	202	akw
3	475	mêy
3	104	sâs
3	22	mîh
3	2711	kiy
3	297	mêt
3	26789	wah
3	3	nîy
3	26	êhê
3	3303	wîp
3	9782	kit
3	179	iti
3	783	wac
3	57	akâ
3	460	êtâ
3	3	pôy
3	16	ânw
3	21988	êpê
3	152	isp
3	2	hêh
3	8	tôh
3	8205	nit
3	113	âka
3	1731	ôhs
3	5420	tak
3	369	nêh
3	354	mos
3	8577	kam
3	12	sôk
3	103	nâp
3	1935	tas
3	5162	wîh
3	1827	wîw
3	4307	kîm
3	398	êpâ
3	25	âsi
3	186	mik
3	170	asi
3	1938	kêw
3	26941	êko
3	683	cac
3	6	awî
3	105	nîp
3	24350	êki
3	113	mêk
3	118	âhk
3	32	kôk
3	60	sîs
3	35	ito
3	24	yôs
3	14	pâp
3	29	sêh
3	99	saw
3	3712	oki
3	10	âsa
3	3532	nêp
3	139	mâk
3	4	kêi
3	127	sîp
3	161	môm
3	4	wîî
3	119	asp
3	391	êsâ
3	114	mâw
3	31606	kah
3	667	êkw
3	5020	kêh
3	4	kîa
3	2	pêâ
3	63	ayê
3	4	êâw
3	3548	nin
3	202	sip
3	1326	kac
3	320	nât
3	1346	êpi
3	1473	têt
3	1066	iya
3	55	aki
3	210	naw
3	56	nay
3	3879	kaw
3	6183	nim
3	13	âto
3	4	taa
3	954	mis
3	4	êop
3	4	êat
3	2	îta
3	4323	nêm
3	4	xiv
3	2226	pês
3	245	êtê
3	5304	kâk
3	1631	pêt
3	547	pim
3	333	mâm
3	4230	wîm
3	234	sin
3	395	mih
3	52	nac
3	4	êow
3	780	kwê
3	4	êês
3	69	ani
3	156	tip
3	88	mîk
3	847	êca
3	259	cîs
3	4	êay
3	4	êîk
3	598	tiy
3	39	sêm
3	3761	waw
3	6324	nêt
3	4	êit
3	25	ahê
3	2719	ôki
3	17	êht
3	155	mâc
3	3560	wâp
3	291	ôtâ
3	141	paw
3	895	mit
3	108	âpi
3	305	sâk
3	29	sim
3	7	pêo
3	54	îka
3	2	kaâ
3	140	cik
3	2	hah
3	21638	âta
3	439	sak
3	64	êtw
3	4	tao
3	26424	tâh
3	91	âpa
3	3047	nâh
3	35	pin
3	11	câw
3	6538	kêk
3	7611	kip
3	286	mên
3	4	kîo
3	2302	omi
3	326	nap
3	410	êkâ
3	442	êsî
3	869	êni
3	64	âyî
3	4531	êna
3	126	kot
3	4265	kêm
3	64	nîm
3	4	kîâ
3	236	onê
3	7	pêa
3	345	wêh
3	79	pâm
3	21652	âmi
3	30	pît
3	22654	êkî
3	3419	pap
3	4	êap
3	7	tim
3	62	tâw
3	332	mêh
3	26750	wâh
3	309	pis
3	4230	wâm
3	172	kwâ
3	41	yâw
3	137	ocê
3	124	wêp
3	23591	ayi
3	4502	êpa
3	31	sâm
3	4	wîa
3	159	ast
3	22	kon
3	669	kâc
3	181	isk
3	22446	owâ
3	4	êac
3	4	vii
3	1108	oni
3	397	êmo
3	4	êaw
3	235	nih
3	43	mîn
3	402	wîy
3	4	êât
3	5088	têh
3	6636	kin
3	19	ayw
3	602	osî
3	719	pêc
3	194	mwê
3	27	nôs
3	43294	asê
3	60	êpw
3	28078	kêt
3	441	ênâ
3	24	pay
3	123	mât
3	6598	kap
3	120	nîh
3	4	êâs
3	3760	pah
3	1277	ayâ
3	215	pîk
3	3095	wan
3	1427	êmi
3	190	osk
3	3048	aya
4	267	kihc
4	654	êkîc
4	607	êpas
4	3224	nôhp
4	13	aywê
4	416	âmiy
4	29	êpâk
4	4	êâpo
4	1043	nôhi
4	4	atiâ
4	25	êpân
4	5	isia
4	46	nâtw
4	470	kênâ
4	50	êpwê
4	26543	êsko
4	138	kêhc
4	4	âsay
4	26	êmêt
4	16	ânwê
4	44327	kawâ
4	510	wîwî
4	4	êasa
4	4	êâhi
4	79	môsk
4	5235	âtak
4	5315	êkik
4	231	ênas
4	43	wîhc
4	41	tâni
4	82	matw
4	708	kâhc
4	5	mîna
4	4	askê
4	22657	kêkî
4	1573	nitâ
4	6	apîs
4	144	êtêh
4	26591	nêhi
4	646	katâ
4	4	kâôh
4	47	pôsk
4	6	anik
4	22	âkay
4	4	êona
4	22291	nêwi
4	4956	kisa
4	2	iskâ
4	4	kêat
4	562	wâhy
4	4	êîka
4	398	kinê
4	231	okin
4	175	niht
4	26404	êwâh
4	5252	tâhk
4	761	kimê
4	96	piko
4	22112	kâwî
4	458	kâci
4	21	êpiy
4	1731	nôhs
4	21661	astê
4	73	wêpa
4	26	nahê
4	4517	tana
4	3	mâna
4	21820	mâci
4	10	wîhp
4	4	kâon
4	4643	kêpa
4	30037	kika
4	24	sîpâ
4	4	wîat
4	30	êmîk
4	221	mihk
4	9	nayô
4	4495	ôhpa
4	42	ihti
4	97	kîtô
4	60	nâni
4	319	ayap
4	21807	akwa
4	21726	kêtô
4	311	otak
4	169	mist
4	159	kîkê
4	1493	kâmi
4	5282	êsêk
4	394	kîsâ
4	70	wêti
4	3224	atip
4	1448	tâht
4	181	wiyê
4	122	wîcê
4	5	nôma
4	1375	niko
4	161	akim
4	4	êâhî
4	1456	ôtâh
4	1807	tâhw
4	86	cîst
4	143	âpah
