6334 êkwa	êkwa+Ipc
3214 awa	awa+Pron+Dem+Prox+A+Sg
1999 mâna	mâna+Ipc
1997 êkosi	êkosi+Ipc
1806 itwêw	itwêw+V+AI+Ind+3Sg
1566 êkota	êkota+Ipc
1321 mîna	mîna+Ipc
1300 ôhi	ôma+Pron+Dem+Prox+I+Pl
1110 itêw	itêw+V+TA+Ind+3Sg+4Sg/PlO
1099 ôma	ôma+Ipc
1016 namôya	namôya+Ipc
 975 mistahi	mistahi+Ipc
 935 ôma	ôma+Pron+Dem+Prox+I+Sg
 896 aya	aya+Ipc
 873 môy	môy+Ipc
 861 âha	âha+Ipc
 853 tâpwê	tâpwê+Ipc
 792 êsa	êsa+Ipc
 754 mâka	mâka+Ipc
 702 mitoni	mitoni+Ipc
 694 pêyak	pêyak+Ipc
 693 kahkiyaw	kahkiyaw+Ipc
 633 ôta	ôta+Ipc
 612 ana	awa+Pron+Dem+Med+A+Sg
 605 iyikohk	iyikohk+Ipc
 601 kîtahtawê	kîtahtawê+Ipc
 588 piko	piko+Ipc
 582 êkâ	êkâ+Ipc
 576 êkotê	êkotê+Ipc
 557 ohci	ohci+Ipc
 476 ita	ita+Ipc
 462 itik	itêw+V+TA+Ind+4Sg/Pl+3SgO
 458 anima	ôma+Pron+Dem+Med+I+Sg
 456 â	â+Ipc
 440 piyisk	piyisk+Ipc
 434 âsay	âsay+Ipc
 412 ôki	awa+Pron+Dem+Prox+A+Pl
 403 wiya	wiya+Ipc
 403 kayâs	kayâs+Ipc
 374 ôki	ôki+Ipc
 362 êtikwê	êtikwê+Ipc
 355 hâw	hâw+Ipc
 343 ôtê	ôtê+Ipc
 317 niya	niya+Pron+Pers+1Sg
 315 anima	anima+Ipc
 309 tânisi	tânisi+Ipc
 298 êkoyikohk	êkoyikohk+Ipc
 296 ahpô	ahpô+Ipc
 295 tâpiskôc	tâpiskôc+Ipc
 291 itêyihtam	itêyihtam+V+TI+Ind+3Sg
 286 nama	nama+Ipc
 271 ayisk	ayisk+Ipc
 268 anohc	anohc+Ipc
 248 namôy	namôy+Ipc
 245 kêtahtawê	kêtahtawê+Ipc
